;;;;;;;;;;1.1
;;;;Выручка станций по дням
;;;;Наименование Ресторана: MESTO
;;;;Дата: 01.02.2026 - 28.02.2026
;Дата;;Код;Валюта;;burger;Касса Место;;Итого
;11.02.2026;;19Закрытие сертификата;;;;;1 990.00;;1 990.00
;11.02.2026;;44ЯндексОплата;;;;23 797.00;26 910.00;;50 707.00
;11.02.2026;;59Ю касса;;;;8 416.00;8 666.50;;17 082.50
;11.02.2026;;67На ланч;;;;;2 020.00;;2 020.00
;11.02.2026;;99VISA Альфабанк;;;;7 306.00;48 525.00;;55 831.00
;11.02.2026;;101Locards;;;;;1 661.00;;1 661.00
;12.02.2026;;1Рубли;;;;18 438.90;156 308.35;;174 747.25
;12.02.2026;;4VISA;;;;43 599.20;236 938.50;;280 537.70
;12.02.2026;;10ПДС оплата;;;;;480.00;;480.00
;12.02.2026;;17Кальян;;;;;1 700.00;;1 700.00
;12.02.2026;;44ЯндексОплата;;;;25 065.00;29 350.00;;54 415.00
;12.02.2026;;59Ю касса;;;;7 453.00;10 030.00;;17 483.00
;12.02.2026;;98Платежные карты;;;;;460.00;;460.00
;12.02.2026;;99VISA Альфабанксертификат;;;;7 792.00;84 529.50;;92 321.50
;12.02.2026;;101Locards;;;;;2 000.00;;2 000.00
;13.02.2026;;1Рубли;;;;16 961.50;195 977.70;;212 939.20
;13.02.2026;;4VISA;;;;67 773.00;449 830.40;;517 603.40
;13.02.2026;;10ПДС оплата;;;;898.00;4 094.00;;4 992.00
;13.02.2026;;17Кальян;;;;;6 400.00;;6 400.00
;13.02.2026;;44ЯндексОплата;;;;31 122.00;26 410.00;;57 532.00
;13.02.2026;;59Ю касса;;;;16 270.00;9 440.00;;25 710.00
;13.02.2026;;99VISA Альфабанк;;;;;141 362.60;;141 362.60
;13.02.2026;;101Locards;;;;;3 000.00;;3 000.00
;14.02.2026;;1Рубли;;;;44 579.52;455 999.00;;500 578.52
;14.02.2026;;4VISA;;;;95 462.00;715 090.00;;810 552.00
;14.02.2026;;10ПДС оплата;;;;718.00;3 935.00;;4 653.00
;14.02.2026;;17Кальян;;;;;24 300.00;;24 300.00
;14.02.2026;;44ЯндексОплата;;;;30 213.00;25 120.00;;55 333.00
;14.02.2026;;59Ю касса;;;;22 320.00;9 180.00;;31 500.00
;14.02.2026;;99VISA Альфабанк;;;;22 728.00;210 010.00;;232 738.00
;14.02.2026;;101Locards;;;;;6 603.00;;6 603.00
;15.02.2026;;1Рубли;;;;21 238.70;241 667.30;;262 906.00
;15.02.2026;;4VISA;;;;75 713.00;398 837.00;;474 550.00
;15.02.2026;;10ПДС оплата;;;;1 048.00;670.00;;1 718.00
;15.02.2026;;17Кальян;;;;;11 900.00;;11 900.00
;15.02.2026;;44ЯндексОплата;;;;17 782.00;20 670.00;;38 452.00
;15.02.2026;;59Ю касса;;;;9 860.00;8 632.50;;18 492.50
;15.02.2026;;99VISA Альфабанк;;;;;125 167.80;;125 167.80
