;;;;;;;;Расход блюд
;;;;;;Наименование Ресторана: MESTO
;;;;;;Дата: 04.03.2026 - 05.03.2026
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;1278Борщ с пампушками БЛ;;;;;;;59,00;10 030,00;;;10 030,00
;1324Бургер Свино-говяжий;;;;;;;5,00;3 600,00;-72,00;;3 528,00
;1332Салат с курицей фри;;;;;;;14,00;7 840,00;-336,00;;7 504,00
;1353Местное ежевичное 125мл;;;;;;;6,00;2 340,00;;;2 340,00
;1354Местное, п/сл  белое 125мл;;;;;;;1,00;290,00;;;290,00
;1411Баллантайнс 40мл;;;;;;;2,00;1 020,00;;;1 020,00
;1488Егермастер 40мл;;;;;;;2,00;980,00;-98,00;;882,00
;1648Том Коллинз;;;;;;;2,00;780,00;;;780,00
;1684Маргарита;;;;;;;1,00;410,00;;;410,00
;1689Космополитен;;;;;;;3,00;1 140,00;-114,00;;1 026,00
;1693Текила Санрайз;;;;;;;1,00;460,00;;;460,00
;1695Брауни;;;;;;;13,00;6 760,00;-286,00;;6 474,00
;1698Лонг Айленд Айс ти;;;;;;;5,00;2 350,00;;;2 350,00
;1700Голубые Гаваи;;;;;;;4,00;1 960,00;;;1 960,00
;1706Пинья Колада (б/а);;;;;;;3,00;1 170,00;;;1 170,00
;1708Айриш Кофе;;;;;;;2,00;800,00;;;800,00
;1790Картофельные дольки со специями;;;;;;;7,00;1 330,00;-38,00;;1 292,00
;1793Стейк Нью-Йорк (порц 1 кг);;;;;;;2,43;16 767,00;;;16 767,00
;1796Стейк Фленк 1 кг;;;;;;;1,56;9 204,00;-525,10;;8 678,90
;1813Стейк Мачете1 кг;;;;;;;1,11;7 437,00;-582,90;;6 854,10
;1843Гарниры к стейку Фленк;;;;;;;6,00;;;;
;1844Гарниры к стейку Мачете;;;;;;;5,00;;;;
;1921Гарниры к стейку Нью-Йорк;;;;;;;9,00;;;;
;1966Bon Aqua 330мл;;;;;;;3,00;840,00;;;840,00
;1972Хлебная корзина 80гр;;;;;;;1,00;70,00;;;70,00
;1988Горчица острая 30гр.;;;;;;;1,00;50,00;-5,00;;45,00
;1994Кетчуп 40гр.;;;;;;;2,00;200,00;;;200,00
;2012Пампушки с чесноком 2шт;;;;;;;2,00;80,00;-8,00;;72,00
;2106Ассорти Мясное 310/40гр;;;;;;;1,00;980,00;;;980,00
;2136Милк Клубнично-Банановый;;;;;;;1,00;430,00;;;430,00
;2138Милк Лесные ягоды;;;;;;;1,00;430,00;-43,00;;387,00
;2142Земляника со сливками;;;;;;;1,00;320,00;;;320,00
;2144Молочный Улун;;;;;;;2,00;640,00;;;640,00
;2542Mestnoe светлое 500мл;;;;;;;24,00;8 880,00;-37,00;;8 843,00
;2544Mestnoe светлое 1000мл;;;;;;;4,00;2 200,00;-110,00;;2 090,00
;;;;;;;Расход блюд;;;;;;;;4
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;2550Виски Кола;;;;;;;1,00;410,00;;;410,00
;2552Ром Кола;;;;;;;10,00;4 100,00;;;4 100,00
;2561Пинья-Колада (а);;;;;;;9,00;4 140,00;-230,00;;3 910,00
;2562Мохито в ассортименте;;;;;;;7,00;3 220,00;;;3 220,00
;2572Сладкий апельсин;;;;;;;4,00;1 280,00;-32,00;;1 248,00
;2648Стейк из свинины;;;;;;;25,00;19 750,00;-474,00;;19 276,00
;2789Боржоми 500мл;;;;;;;2,00;640,00;;;640,00
;2807Соус Сырный 40гр;;;;;;;8,00;800,00;-10,00;;790,00
;2824Сидр Честерс Вишня 500мл;;;;;;;2,00;780,00;;;780,00
;2827Сидр Честерс Груша 500мл;;;;;;;1,00;390,00;;;390,00
;2885Суп-крем СЫРНЫЙ;;;;;;;10,00;4 800,00;-168,00;;4 632,00
;3193Крылья BBQ;;;;;;;2,00;1 100,00;;;1 100,00
;3194Крылья острые;;;;;;;1,00;550,00;;;550,00
;3195Ассорти крыльев- BBQи острые;;;;;;;7,00;5 530,00;-79,00;;5 451,00
;3196Суп Тайский;;;;;;;7,00;4 760,00;-204,00;;4 556,00
;3197Бургер с пикантной курицей;;;;;;;2,00;1 340,00;-100,50;;1 239,50
;3198Торт Медовик;;;;;;;13,00;6 110,00;-94,00;;6 016,00
;3201Соус Шрирача 40 гр;;;;;;;1,00;100,00;;;100,00
;3202Соус Блю-Чиз 40г;;;;;;;1,00;100,00;;;100,00
;3263Место бургер;;;;;;;18,00;14 040,00;-585,00;;13 455,00
;3330Цыпленок карамель;;;;;;;11,00;7 150,00;-195,00;;6 955,00
;3347Креветки Том Ям;;;;;;;5,00;4 250,00;-85,00;;4 165,00
;3421Шарик Мороженого;;;;;;;7,00;840,00;-60,00;;780,00
;3426Бельгийские вафли;;;;;;;9,00;4 680,00;-156,00;;4 524,00
;3554БУРГЕР с креветками;;;;;;;1,00;479,00;;;479,00
;3555БУРГЕР  ХАЛАПЕНЬО БЕКОН острый;;;;;;;4,00;1 916,00;;;1 916,00
;3556БУРГЕР С КЛЮКВЕННЫМ СОУСОМ;;;;;;;7,00;3 423,00;;;3 423,00
;3557МЕSТО БУРГЕР;;;;;;;18,00;8 982,00;-249,50;;8 732,50
;3558БУРГЕР  С КОПЧЕНОЙ ИНДЕЙКОЙ;;;;;;;6,00;2 454,00;;;2 454,00
;3559ДВОЙНОЙ МЕSТО БУРГЕР;;;;;;;7,00;4 753,00;-67,90;;4 685,10
;3561ЧИЗБУРГЕР;;;;;;;25,00;11 975,00;-143,70;;11 831,30
;3562STUDENT ГАМБУРГЕР;;;;;;;4,00;1 036,00;;;1 036,00
;3600ФРИ ОБЫЧНЫЙ 300гр;;;;;;;3,00;1 077,00;-35,90;;1 041,10
;3602ФРИ ОБЫЧНЫЙ 150гр;;;;;;;21,00;4 977,01;-119,50;;4 857,51
;3622БУР Латте 200мл;;;;;;;2,00;320,00;-16,00;;304,00
;3623БУР Двойной Капучино 400мл;;;;;;;3,00;690,00;;;690,00
;3624БУР Капучино 200мл;;;;;;;1,00;160,00;;;160,00
;3633БУР Чай Облепиха 200мл;;;;;;;1,00;131,89;;;131,89
;3644Добрый Кола 500мл/шт;;;;;;;13,00;3 120,00;;;3 120,00
;3646Кока-Кола на розлив 0,5л;;;;;;;4,00;840,00;;;840,00
;;;;;;;Расход блюд;;;;;;;;5
